pair,open_date,close_date,open_rate,close_rate,amount,stake_amount,profit_abs,profit_ratio,exit_reason,trade_duration,is_short
SOL/USDT,2025-04-14 04:35:00+00:00,2025-04-14 05:45:00+00:00,132.93,132.21,1.4,186.102,-1.2307176,-0.006609169231027396,exit_signal,70,False
ETH/USDT,2025-04-14 07:50:00+00:00,2025-04-14 09:05:00+00:00,1629.8,1639.9108264958973,0.12,195.576,0.95913505,0.0049012144335274736,roi,75,False
SOL/USDT,2025-04-14 08:05:00+00:00,2025-04-14 09:05:00+00:00,132.68,133.50310986591953,1.4,185.752,0.92876,0.0049970017989206484,roi,60,False
ETH/USDT,2025-04-14 09:10:00+00:00,2025-04-14 09:40:00+00:00,1639.71,1631.09,0.12,196.7652,-1.2698976,-0.006450002939183365,exit_signal,30,False
SOL/USDT,2025-04-14 09:15:00+00:00,2025-04-14 09:40:00+00:00,133.74,132.28,1.4,187.236,-2.2674568,-0.01210289229483097,exit_signal,25,False
ETH/USDT,2025-04-14 09:55:00+00:00,2025-04-14 10:35:00+00:00,1639.22,1665.6,0.12,196.7064,2.92765296,0.014874439375368934,roi,40,False
SOL/USDT,2025-04-14 10:10:00+00:00,2025-04-14 12:00:00+00:00,132.94,133.7647228337002,1.4,186.116,0.93058,0.004997001798920647,roi,110,False
ETH/USDT,2025-04-14 10:45:00+00:00,2025-04-14 13:35:00+00:00,1678.68,1665.48,0.11,184.6548,-1.67271456,-0.009053171285448046,exit_signal,170,False
SOL/USDT,2025-04-14 12:40:00+00:00,2025-04-14 13:35:00+00:00,133.72,132.95,1.4,187.208,-1.3020028,-0.006950675541429554,exit_signal,55,False
ETH/USDT,2025-04-14 14:40:00+00:00,2025-04-14 15:05:00+00:00,1677.66,1661.71,0.11,184.5426,-1.97489842,-0.010695168440702086,exit_signal,25,False
SOL/USDT,2025-04-14 14:40:00+00:00,2025-04-14 15:05:00+00:00,133.89,131.54,1.4,187.446,-3.5129612,-0.01872995255800437,exit_signal,25,False
BTC/USDT,2025-04-14 14:30:00+00:00,2025-04-14 15:15:00+00:00,85044.3,84505.9,0.002,170.0886,-1.28026024,-0.00752250617897564,exit_signal,45,False
ETH/USDT,2025-04-14 17:55:00+00:00,2025-04-14 19:55:00+00:00,1647.42,1634.79,0.11,181.2162,-1.60592586,-0.008856619233107401,exit_signal,120,False
