open_date,close_date,pair,stake_amount,profit_abs,profit_ratio
2025-06-10 01:15:00+00:00,2025-06-10 02:45:00+00:00,BTC/USDT:USDT,329.1714,0.01684128,5.119336259012995e-05
2025-06-10 02:20:00+00:00,2025-06-10 02:45:00+00:00,ETH/USDT:USDT,321.3492,-2.29356312,-0.007141577088259221
2025-06-10 02:05:00+00:00,2025-06-10 03:05:00+00:00,SOL/USDT:USDT,319.56,0.95868,0.0030018010806483887
2025-06-10 03:15:00+00:00,2025-06-10 03:50:00+00:00,ETH/USDT:USDT,321.6516,-1.43901336,-0.004476512121723701
2025-06-10 03:15:00+00:00,2025-06-10 04:05:00+00:00,BTC/USDT:USDT,328.0659,-1.03096122,-0.0031444297261643485
2025-06-10 03:10:00+00:00,2025-06-10 04:40:00+00:00,SOL/USDT:USDT,318.42,0.318316,0.0010002735514809294
2025-06-10 03:55:00+00:00,2025-06-10 05:25:00+00:00,ETH/USDT:USDT,322.7172,-1.51458384,-0.004690408923414148
2025-06-10 05:20:00+00:00,2025-06-10 05:25:00+00:00,BTC/USDT:USDT,328.7784,-0.92821368,-0.0028215268574472985
2025-06-10 05:30:00+00:00,2025-06-10 06:00:00+00:00,ETH/USDT:USDT,321.0012,0.9630036,0.0030018010806483887
2025-06-10 05:30:00+00:00,2025-06-10 06:00:00+00:00,SOL/USDT:USDT,316.88,0.95064,0.0030018010806483896
2025-06-10 05:35:00+00:00,2025-06-10 06:30:00+00:00,BTC/USDT:USDT,327.6,-0.86410242,-0.002639258830023289
2025-06-10 06:10:00+00:00,2025-06-10 06:45:00+00:00,ETH/USDT:USDT,319.368,-2.11347912,-0.006621665191194073
2025-06-10 06:10:00+00:00,2025-06-10 06:45:00+00:00,SOL/USDT:USDT,315.14,-1.879068,-0.005966224908518761
2025-06-10 06:40:00+00:00,2025-06-10 07:10:00+00:00,BTC/USDT:USDT,218.9402,-0.56254824,-0.00256787430290065
2025-06-10 07:25:00+00:00,2025-06-10 07:30:00+00:00,BTC/USDT:USDT,218.6888,-0.40171008,-0.0018380056534694521
2025-06-10 07:30:00+00:00,2025-06-10 07:40:00+00:00,ETH/USDT:USDT,321.8016,-1.47510816,-0.00458115691725742
2025-06-10 07:30:00+00:00,2025-06-10 07:50:00+00:00,SOL/USDT:USDT,317.04,-1.020064,-0.003215532199731385
2025-06-10 08:00:00+00:00,2025-06-10 08:15:00+00:00,ETH/USDT:USDT,321.1596,-0.94758876,-0.002948753665378202
2025-06-10 08:10:00+00:00,2025-06-10 08:20:00+00:00,SOL/USDT:USDT,317.64,-2.06016,-0.006481943852200203
2025-06-10 08:30:00+00:00,2025-06-10 08:35:00+00:00,ETH/USDT:USDT,320.7768,-0.60826608,-0.0018973668256409228
2025-06-10 08:40:00+00:00,2025-06-10 08:55:00+00:00,ETH/USDT:USDT,321.6,-0.9735672,-0.0030254459264739664
2025-06-10 07:35:00+00:00,2025-06-10 09:05:00+00:00,BTC/USDT:USDT,218.442,0.0904522,0.00041432739080552914
2025-06-10 09:00:00+00:00,2025-06-10 09:15:00+00:00,ETH/USDT:USDT,320.7252,-0.95401152,-0.0029763307359768967
2025-06-10 08:30:00+00:00,2025-06-10 09:25:00+00:00,SOL/USDT:USDT,315.88,-0.959404,-0.0030390654298872856
2025-06-10 09:10:00+00:00,2025-06-10 09:25:00+00:00,BTC/USDT:USDT,218.1802,-0.71148588,-0.0032629589111050866
2025-06-10 09:20:00+00:00,2025-06-10 09:25:00+00:00,ETH/USDT:USDT,321.0024,-1.35058176,-0.004209914304557643
2025-06-10 09:25:00+00:00,2025-06-10 10:05:00+00:00,ETH/USDT:USDT,321.9672,0.9659016,0.0029982010793523886
2025-06-10 09:35:00+00:00,2025-06-10 10:10:00+00:00,SOL/USDT:USDT,316.96,0.95088,0.0029982010793523886
2025-06-10 09:25:00+00:00,2025-06-10 10:40:00+00:00,BTC/USDT:USDT,218.6296,-0.38468208,-0.0017584600125257845
2025-06-10 10:10:00+00:00,2025-06-10 10:40:00+00:00,ETH/USDT:USDT,322.956,-1.4429136,-0.004465154296490585
2025-06-10 10:15:00+00:00,2025-06-10 10:40:00+00:00,SOL/USDT:USDT,318.22,-2.640508,-0.008292768038504407
2025-06-10 10:40:00+00:00,2025-06-10 11:10:00+00:00,SOL/USDT:USDT,315.96,1.061712,0.003362290826831838
2025-06-10 10:40:00+00:00,2025-06-10 11:15:00+00:00,BTC/USDT:USDT,218.5072,-0.55438384,-0.0025386654078309603
2025-06-10 11:15:00+00:00,2025-06-10 11:20:00+00:00,SOL/USDT:USDT,315.98,-2.02016,-0.006397154325255449
2025-06-10 11:25:00+00:00,2025-06-10 11:30:00+00:00,SOL/USDT:USDT,317.66,1.90596,0.005996402158704777
2025-06-10 11:20:00+00:00,2025-06-10 12:10:00+00:00,BTC/USDT:USDT,219.198,-0.56665532,-0.0025835798259180786
2025-06-10 11:50:00+00:00,2025-06-10 12:40:00+00:00,SOL/USDT:USDT,320.44,0.96132,0.002998201079352388
2025-06-10 12:40:00+00:00,2025-06-10 12:45:00+00:00,BTC/USDT:USDT,218.8246,-0.51173892,-0.0023399843879006892
2025-06-10 12:55:00+00:00,2025-06-10 13:35:00+00:00,SOL/USDT:USDT,321.88,-3.024672,-0.009391258497045429
2025-06-10 13:00:00+00:00,2025-06-10 13:35:00+00:00,BTC/USDT:USDT,219.3098,-0.82083696,-0.003740574990940264
2025-06-10 13:35:00+00:00,2025-06-10 13:40:00+00:00,SOL/USDT:USDT,319.24,1.91544,0.006003602161296778
2025-06-10 13:35:00+00:00,2025-06-10 14:05:00+00:00,BTC/USDT:USDT,218.7518,0.6562554,0.003001801080648389
2025-06-10 13:45:00+00:00,2025-06-10 14:10:00+00:00,ETH/USDT:USDT,299.2,-3.95159424,-0.013215129077446467
2025-06-10 13:45:00+00:00,2025-06-10 14:25:00+00:00,SOL/USDT:USDT,316.7,0.9501,0.003001801080648389
2025-06-10 14:30:00+00:00,2025-06-10 14:40:00+00:00,SOL/USDT:USDT,315.84,1.89504,0.006003602161296779
2025-06-10 14:10:00+00:00,2025-06-10 14:45:00+00:00,BTC/USDT:USDT,217.8252,0.6534756,0.003001801080648389
2025-06-10 14:35:00+00:00,2025-06-10 15:10:00+00:00,ETH/USDT:USDT,300.6069,-1.52522656,-0.005076870309188539
2025-06-10 14:50:00+00:00,2025-06-10 15:15:00+00:00,BTC/USDT:USDT,217.2722,-1.11163688,-0.0051194044270621575
2025-06-10 15:10:00+00:00,2025-06-10 15:25:00+00:00,ETH/USDT:USDT,301.7707,-0.94257636,-0.0031216123808839465
2025-06-10 15:10:00+00:00,2025-06-10 15:25:00+00:00,SOL/USDT:USDT,315.24,-1.879188,-0.005964713201731469
2025-06-10 15:40:00+00:00,2025-06-10 16:00:00+00:00,ETH/USDT:USDT,298.2892,-3.90944279,-0.013114084800651016
2025-06-10 16:05:00+00:00,2025-06-10 16:25:00+00:00,BTC/USDT:USDT,218.265,-0.9005346,-0.004123403217364475
2025-06-10 16:05:00+00:00,2025-06-10 16:25:00+00:00,ETH/USDT:USDT,301.5232,-1.1302665,-0.003746274736908964
2025-06-10 16:30:00+00:00,2025-06-10 16:40:00+00:00,ETH/USDT:USDT,301.6827,-1.30415362,-0.0043203392075242455
2025-06-10 16:45:00+00:00,2025-06-10 16:55:00+00:00,ETH/USDT:USDT,301.2812,-0.82106156,-0.002723599144151439
2025-06-10 16:55:00+00:00,2025-06-10 17:10:00+00:00,SOL/USDT:USDT,314.28,-1.697928,-0.005405839914792709
2025-06-10 16:50:00+00:00,2025-06-10 17:15:00+00:00,BTC/USDT:USDT,217.4648,-0.57634688,-0.0026518907691609975
2025-06-10 17:05:00+00:00,2025-06-10 18:05:00+00:00,ETH/USDT:USDT,301.1426,-0.58123912,-0.0019289552047721274
2025-06-10 17:25:00+00:00,2025-06-10 18:05:00+00:00,SOL/USDT:USDT,316.22,-0.659296,-0.0020836780077295473
2025-06-10 18:05:00+00:00,2025-06-10 18:15:00+00:00,ETH/USDT:USDT,300.9226,-0.97747672,-0.0032502163617318235
2025-06-10 17:45:00+00:00,2025-06-10 18:20:00+00:00,BTC/USDT:USDT,217.38,-0.56824032,-0.0026156107686140804
2025-06-10 18:20:00+00:00,2025-06-10 18:35:00+00:00,ETH/USDT:USDT,302.0116,-1.3265351,-0.004389697800370173
2025-06-10 18:10:00+00:00,2025-06-10 18:40:00+00:00,SOL/USDT:USDT,300.542,0.901626,0.0029982010793523886
