open_date,close_date,pair,stake_amount,profit_abs,profit_ratio
2025-06-10 01:15:00+00:00,2025-06-10 01:25:00+00:00,BTC/USDT:USDT,329.1714,-0.80234994,-0.0024389471229377467
2025-06-10 02:20:00+00:00,2025-06-10 02:25:00+00:00,ETH/USDT:USDT,321.3492,-1.32097992,-0.004113198302003783
2025-06-10 01:55:00+00:00,2025-06-10 02:50:00+00:00,BTC/USDT:USDT,328.9566,-0.20833614,-0.0006337043145814312
2025-06-10 02:10:00+00:00,2025-06-10 03:40:00+00:00,SOL/USDT:USDT,318.3,0.278436,0.0008752848315964132
2025-06-10 05:20:00+00:00,2025-06-10 05:25:00+00:00,ETH/USDT:USDT,323.3244,-2.12214816,-0.006559590413279135
2025-06-10 05:30:00+00:00,2025-06-10 05:50:00+00:00,SOL/USDT:USDT,316.88,0.860488,0.002717131414925704
2025-06-10 05:30:00+00:00,2025-06-10 06:00:00+00:00,ETH/USDT:USDT,321.0012,0.9630036,0.0030018010806483887
2025-06-10 05:35:00+00:00,2025-06-10 06:25:00+00:00,BTC/USDT:USDT,327.6,-0.76444266,-0.002334864471796631
2025-06-10 07:30:00+00:00,2025-06-10 07:35:00+00:00,ETH/USDT:USDT,321.8016,-1.12851624,-0.003504766714268149
2025-06-10 07:30:00+00:00,2025-06-10 07:35:00+00:00,SOL/USDT:USDT,317.04,-0.720244,-0.002270414183485871
2025-06-10 08:10:00+00:00,2025-06-10 08:15:00+00:00,SOL/USDT:USDT,317.64,-1.280628,-0.004029278692701267
2025-06-10 09:05:00+00:00,2025-06-10 09:25:00+00:00,SOL/USDT:USDT,315.2,-1.638996,-0.005202982195408616
2025-06-10 09:25:00+00:00,2025-06-10 10:05:00+00:00,ETH/USDT:USDT,321.9672,0.9659016,0.0029982010793523886
2025-06-10 09:35:00+00:00,2025-06-10 10:40:00+00:00,BTC/USDT:USDT,218.743,-0.49815012,-0.0022759649870144746
2025-06-10 10:00:00+00:00,2025-06-10 10:40:00+00:00,SOL/USDT:USDT,317.78,-2.200244,-0.006919644550358337
